AAPL,Apple
MSFT,Microsoft
GOOG,Alphabet (Google)
AMZN,Amazon
BRK-B,Berkshire Hathaway
NVDA,NVIDIA
V,Visa
XOM,Exxon Mobil
UNH,UnitedHealth
TSLA,Tesla
JNJ,Johnson & Johnson
JPM,JPMorgan Chase
WMT,Walmart
META,Meta Platforms (Facebook)
MA,Mastercard
CVX,Chevron
PG,Procter & Gamble
LLY,Eli Lilly
HD,Home Depot
BAC,Bank of America
MRK,Merck
KO,Coca-Cola
ABBV,AbbVie
PFE,Pfizer
AVGO,Broadcom
ORCL,Oracle
PEP,Pepsico
TMO,Thermo Fisher Scientific
COST,Costco
MCD,McDonald
CSCO,Cisco
DIS,Walt Disney
NKE,Nike
ABT,Abbott Laboratories
DHR,Danaher
TMUS,T-Mobile US
WFC,Wells Fargo
CMCSA,Comcast
VZ,Verizon
ADBE,Adobe
NFLX,Netflix
MS,Morgan Stanley
PM,Philip Morris
TXN,Texas Instruments
CRM,Salesforce
BMY,Bristol-Myers Squibb
NEE,Nextera Energy
UPS,United Parcel Service
COP,ConocoPhillips
SCHW,Charles Schwab
RTX,Raytheon Technologies
QCOM,QUALCOMM
T,AT&T
HON,Honeywell
AMGN,Amgen
CAT,Caterpillar
BA,Boeing
IBM,IBM
LOW,Lowe's Companies
DE,Deere & Company
INTC,Intel
UNP,Union Pacific Corporation
SBUX,Starbucks
AMD,AMD
SPGI,S&P Global
LMT,Lockheed Martin
ELV,Elevance Health
GS,Goldman Sachs
AXP,American Express
PLD,Prologis
INTU,Intuit
CVS,CVS Health
BLK,BlackRock
GILD,Gilead Sciences
AMT,American Tower
C,Citigroup
EL,Estee Lauder
AMAT,Applied Materials
SYK,Stryker Corporation
CI,Cigna
TJX,TJX Companies
ADP,Automatic Data Processing
BKNG,Booking Holdings (Booking.com)
PYPL,PayPal
NOW,ServiceNow
MDLZ,Mondelez
GE,General Electric
ISRG,Intuitive Surgical
MMC,Marsh & McLennan Companies
ADI,Analog Devices
REGN,Regeneron Pharmaceuticals
VRTX,Vertex Pharmaceuticals
MO,Altria Group
SLB,Schlumberger
PGR,Progressive
DUK,Duke Energy
EOG,EOG Resources
ZTS,Zoetis
TGT,Target
USB,U.S. Bancorp
